Model,AUC
gpt_5_4_reflection_third_person_medium,0.6342857142857143
llama3_3_70b,0.5832142857142857
gpt_4_1,0.5667857142857141
llama4_maverick,0.5413392857142857
gpt_5_4_reflection_third_person,0.5277678571428571
gpt_5_4_reflection,0.5157142857142857
gpt_5_4,0.5034821428571429
gpt_4o_mini_reversed,0.47874999999999995
gpt_4o_mini_in_context,0.4783928571428572
gpt_4o_mini_reflection,0.4671428571428571
gpt_4o_mini,0.45758928571428564
gpt_4o_mini_temp0,0.45607142857142857
gpt_4o_mini_assert,0.4445535714285713
qwen3_a3b,0.4352678571428571
gemma_3n_e4b,0.42348214285714286
gpt_4o_mini_multiple_summarization,0.3864285714285714
llama3_1_8b,0.2864285714285714
gpt_3_5_turbo,0.25321428571428567
