Model,Letter,Stance,Includes_1_mean,Includes_1_standard_error,Includes_1_bonferroni_mean,Includes_1_bonferroni_standard_error,Mean_mean,Mean_standard_error,Success_rate_mean,Success_rate_standard_error,Mean_Pol_mean,Mean_Pol_standard_error,Mean_Mod_mean,Mean_Mod_standard_error,Mean_Flip_mean,Mean_Flip_standard_error,Mean_Dev_mean,Mean_Dev_standard_error,Mean_ModNeut_mean,Mean_ModNeut_standard_error
gpt_5_2,A,Agree strongly,0.8695652173913043,0.0718019846821539,0.9130434782608696,0.0600738504093702,0.9591304347826086,0.0312639726452754,0.9591304347826086,0.0312639726452754,,,,,,,,,,
gpt_5_2,B,Agree,0.1304347826086956,0.0718019846821539,0.1304347826086956,0.0718019846821539,0.2365217391304347,0.0725743688235674,0.2365217391304347,0.0725743688235674,,,,,,,,,,
gpt_5_2,C,Neutral,0.0869565217391304,0.0600738504093702,0.1304347826086956,0.0718019846821539,0.2960869565217391,0.0773287707566408,0.2960869565217391,0.0773287707566408,,,,,,,,,,
gpt_5_2,D,Disagree,0.0869565217391304,0.0600738504093702,0.0869565217391304,0.0600738504093702,0.1939130434782608,0.0654408556266808,0.1939130434782608,0.0654408556266808,,,,,,,,,,
gpt_5_2,E,Disagree strongly,0.8695652173913043,0.0718019846821539,0.8695652173913043,0.0718019846821539,0.9360869565217392,0.0349236271791707,0.9360869565217392,0.0349236271791707,,,,,,,,,,
gpt_4o_mini,A,Agree strongly,0.1071428571428571,0.0293569620188138,0.2232142857142857,0.0395230196770251,0.9329765556450764,0.0205926250220581,0.8839285714285714,0.0304025324989497,0.0,0.0,2.9872413464732227e-05,1.6016778220439947e-05,0.0669935218344662,0.0205903937284597,0.0,0.0,5.01069925071167e-08,2.6168346956471537e-08
gpt_4o_mini,B,Agree,0.0,0.0,0.0,0.0,0.1077177917612334,0.0157130062105247,0.0,0.0,0.5893038863314333,0.040242826402123,0.0,0.0,0.26353993786831,0.0339688985417313,0.0,0.0,0.0394383840390233,0.0089172832585279
gpt_4o_mini,C,Neutral,0.25,0.0410997468263393,0.4017857142857143,0.0465333314697364,0.7168317719992328,0.026299599583549,0.2767857142857143,0.0424662433669762,0.0,0.0,0.0,0.0,0.0,0.0,0.2831682280007672,0.026299599583549,0.0,0.0
gpt_4o_mini,D,Disagree,0.0714285714285714,0.0244445558728733,0.1160714285714285,0.0304025324989497,0.3096025321174575,0.0348111740531069,0.0982142857142857,0.0282473374007799,0.6416368777683674,0.0372393646344205,0.0,0.0,0.0446809448409516,0.0164915508385786,0.0,0.0,0.0040796452732235,0.0021883074428738
gpt_4o_mini,E,Disagree strongly,0.375,0.0459509138808629,0.5357142857142857,0.0473366789005375,0.78368651207661,0.0316571344967406,0.5982142857142857,0.0465333314697364,0.0,0.0,0.107926802967714,0.0207713804475546,0.1083748178234732,0.0272141257889849,0.0,0.0,1.1867132202705626e-05,8.36460030499632e-06
gpt_4o_mini_reversed,A,Agree strongly,0.1964285714285714,0.0377097004934701,0.3571428571428571,0.0454796099976438,0.8304643264140749,0.032553273205736,0.7589285714285714,0.0405986724695268,0.0,0.0,0.0074823105109174,0.0040020483445066,0.1620531149100043,0.0325620787000453,0.0,0.0,2.481650033169529e-07,2.413411392457222e-07
gpt_4o_mini_reversed,B,Agree,0.0,0.0,0.0,0.0,0.0530074667732175,0.0131827579197811,0.0,0.0,0.6170287642719128,0.041151236359907,0.0,0.0,0.3208395153893573,0.0395830684703774,0.0,0.0,0.0091242535655123,0.00287959852454
gpt_4o_mini_reversed,C,Neutral,0.2946428571428571,0.0432704093257872,0.4375,0.0470856752188052,0.7171797965804982,0.0275402814662051,0.3214285714285714,0.0443280405529151,0.0,0.0,0.0,0.0,0.0,0.0,0.2828202034195018,0.0275402814662051,0.0,0.0
gpt_4o_mini_reversed,D,Disagree,0.0267857142857142,0.015324784082343,0.0982142857142857,0.0282473374007799,0.4106645770524933,0.0338024249524325,0.0892857142857142,0.0270657816463512,0.5193253413523793,0.0360665320811097,0.0,0.0,0.0360536556037536,0.0127909411122856,0.0,0.0,0.0339564259913738,0.0095623460805664
gpt_4o_mini_reversed,E,Disagree strongly,0.375,0.0459509138808629,0.5625,0.0470856752188052,0.9072762336323784,0.0232712855493527,0.8214285714285714,0.036352091215778,0.0,0.0,0.013317607419552,0.0057357685810707,0.0793473025807309,0.0229353336733027,0.0,0.0,5.88563673386766e-05,5.738556930988943e-05
gpt_4o_mini_temp0,A,Agree strongly,0.8839285714285714,0.0304025324989497,0.8928571428571429,0.0293569620188137,0.9330357142857144,0.0205787557445565,0.8839285714285714,0.0304025324989497,0.0,0.0,0.0,0.0,0.0669642857142857,0.0205787557445565,0.0,0.0,0.0,0.0
gpt_4o_mini_temp0,B,Agree,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.0089285714285714,0.1082142857142857,0.0161751266287516,0.0089285714285714,0.0089285714285714,0.5898214285714286,0.0403547616921473,0.0,0.0,0.2640178571428571,0.0341174960450025,0.0,0.0,0.0379464285714285,0.0090580659328384
gpt_4o_mini_temp0,C,Neutral,0.2857142857142857,0.0428785875134045,0.4285714285714285,0.046971139230102,0.7164285714285714,0.0263914135807922,0.2410714285714285,0.0405986724695268,0.0,0.0,0.0,0.0,0.0,0.0,0.2835714285714286,0.0263914135807922,0.0,0.0
gpt_4o_mini_temp0,D,Disagree,0.1071428571428571,0.0293569620188138,0.1785714285714285,0.036352091215778,0.3130357142857143,0.0356902066511218,0.1071428571428571,0.0293569620188137,0.6383035714285714,0.0380111851876561,0.0,0.0,0.0445535714285714,0.0164779641049308,0.0,0.0,0.0041071428571428,0.0022673383561304
gpt_4o_mini_temp0,E,Disagree strongly,0.6071428571428571,0.0463555013560997,0.6607142857142857,0.0449394906861354,0.7827678571428571,0.032129286022152,0.6071428571428571,0.0463555013560997,0.0,0.0,0.1089285714285714,0.0214688863579086,0.1083035714285714,0.0272119547719485,0.0,0.0,0.0,0.0
gpt_4_1,A,Agree strongly,0.8928571428571429,0.0293569620188137,0.9196428571428572,0.0258024149384795,0.9617247023920816,0.013749509908643,0.9017857142857144,0.0282473374007799,0.0,0.0,0.0382752976079182,0.013749509908643,5.025411972626123e-17,3.613598777875154e-17,0.0,0.0,1.8594013602017924e-17,1.6765056625218934e-17
gpt_4_1,B,Agree,0.1785714285714285,0.036352091215778,0.2857142857142857,0.0428785875134045,0.5987328255378289,0.030918276456391,0.1875,0.0370468111477387,0.3969038007400468,0.0312590049384849,0.0,0.0,0.0016050083813275,0.0007458936734927,0.0,0.0,0.0027583653407968,0.0013778175085129
gpt_4_1,C,Neutral,0.4910714285714285,0.0474503325548912,0.6160714285714286,0.0461614307502854,0.799750914334511,0.0260959485155374,0.4910714285714285,0.0474503325548912,0.0,0.0,0.0,0.0,0.0,0.0,0.200249085665489,0.0260959485155374,0.0,0.0
