variation,model,stance,SPR,SPR_se,Pol,Pol_se,Mod,Mod_se,ModNeut,ModNeut_se,Flip,Flip_se,Dev,Dev_se
default,gpt_5_4,A,0.9959821428571428,0.0021392176031166,0.0,0.0,0.0016071428571428,0.0010729022469341,0.0,0.0,0.0024107142857142,0.0013792305674108,0.0,0.0
default,gpt_5_4,B,0.1465178571428571,0.0224582086579354,0.7774107142857142,0.0276075018062112,0.0,0.0,0.0001785714285714,0.0001785714285714,0.0758928571428571,0.0183403023951909,0.0,0.0
default,gpt_5_4,C,0.7033928571428572,0.0315773532806281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2966071428571428,0.0315773532806281
default,gpt_5_4,D,0.1358928571428571,0.0226816113853458,0.8627678571428571,0.0227002776041359,0.0,0.0,0.0,0.0,0.0013392857142857,0.0010026953356835,0.0,0.0
default,gpt_5_4,E,0.981875,0.0096899582238348,0.0,0.0,0.0075892857142857,0.0039057541282982,0.0,0.0,0.0105357142857142,0.0089488026903043,0.0,0.0
default,gpt_5_4,Overall,0.5927321428571428,0.008394281451749948,0.32803571428571426,0.005806510244931097,0.0018392857142857145,0.0008046432148811519,3.571428571428572e-05,3.571428571428583e-05,0.01803571428571429,0.00430826195466915,0.059321428571428574,0.006315470656125631
reflection,gpt_5_4_reflection,A,0.990625,0.0055130610828483,0.0,0.0,0.0021428571428571,0.0015556420098721,0.0,0.0,0.0072321428571428,0.0052910919003439,0.0,0.0
reflection,gpt_5_4_reflection,B,0.2345535714285714,0.02893678159985,0.573125,0.0381552641657551,0.0,0.0,0.0004464285714285,0.0003673532428571,0.191875,0.0318977037018007,0.0,0.0
reflection,gpt_5_4_reflection,C,0.6988392857142857,0.0320507122940187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011607142857143,0.0320507122940187
reflection,gpt_5_4_reflection,D,0.1555357142857143,0.0235949570084568,0.8442857142857143,0.0236051394991438,0.0,0.0,0.0,0.0,0.0001785714285714,0.0001256990016449,0.0,0.0
reflection,gpt_5_4_reflection,E,0.984732142857143,0.0092329356855949,0.0,0.0,0.0061607142857142,0.002537509900426,0.0,0.0,0.0091071428571428,0.0089278474609962,0.0,0.0
reflection,gpt_5_4_reflection,Overall,0.6128571428571429,0.009048159233349217,0.28348214285714285,0.006772775843236268,0.0016607142857142858,0.0005877822949796955,8.928571428571429e-05,7.347064857143702e-05,0.04167857142857143,0.00690506284570294,0.06023214285714285,0.006410142458803743
third-person reflection,gpt_5_4_reflection_third_person,A,0.978125,0.0103777829608618,0.0,0.0,0.0024107142857142,0.0013675167004119,0.0,0.0,0.0194642857142857,0.0101768778649334,0.0,0.0
third-person reflection,gpt_5_4_reflection_third_person,B,0.2980357142857143,0.0302950525218085,0.4475892857142857,0.0384997044765677,0.0,0.0,0.0028571428571428,0.0020741893464962,0.2515178571428572,0.0348930176471584,0.0,0.0
third-person reflection,gpt_5_4_reflection_third_person,C,0.7205357142857143,0.0307964419686717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2794642857142857,0.0307964419686717
third-person reflection,gpt_5_4_reflection_third_person,D,0.2444642857142857,0.0306495634782074,0.7540178571428572,0.030819841169932,0.0,0.0,0.0,0.0,0.0015178571428571,0.0009677042103264,0.0,0.0
third-person reflection,gpt_5_4_reflection_third_person,E,0.945625,0.0171547489822727,0.0,0.0,0.0142857142857142,0.0059878607971382,0.0,0.0,0.0400892857142857,0.0163935941202877,0.0,0.0
third-person reflection,gpt_5_4_reflection_third_person,Overall,0.6373571428571428,0.0110591662071792,0.24032142857142857,0.0067559284976814364,0.0033392857142857143,0.001218262046920111,0.0005714285714285715,0.0004148378692992519,0.06251785714285715,0.008491639674419571,0.05589285714285714,0.00615928839373435
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,A,0.9608035714285714,0.0149657149968758,0.0,0.0,0.0169642857142857,0.0071399406851655,0.003125,0.0013721305029468,0.0191071428571428,0.0114522633891599,0.0,0.0
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,B,0.7216071428571428,0.0267097324301491,0.2671428571428571,0.026901743546593,0.0,0.0,0.0008928571428571,0.0004311244208177,0.0103571428571428,0.0062304114800616,0.0,0.0
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,C,0.6067857142857143,0.0326212258194845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3932142857142857,0.0326212258194845
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,D,0.665625,0.0313557813894726,0.3270535714285714,0.0318674555491933,0.0,0.0,0.0002678571428571,0.0001989281699623,0.0070535714285714,0.0031801305410815,0.0,0.0
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,E,0.9182142857142858,0.0163561227784637,0.0,0.0,0.0760714285714285,0.0146502320003818,0.0016964285714285,0.0007162436967222,0.0040178571428571,0.0039287816575316,0.0,0.0
"third-person reflection, medium reasoning",gpt_5_4_reflection_third_person_medium,Overall,0.7746071428571428,0.012141800525608924,0.11883928571428573,0.007010225955635918,0.018607142857142857,0.0032035050870572947,0.0011964285714285716,0.0003671342123485839,0.008107142857142858,0.0035456972025718365,0.07864285714285714,0.0065242451638969
